feature,importance
counterparty_country_RO,0.2678053
counterparty_country_BE,0.22340669
counterparty_country_DE,0.10092636
counterparty_country_LT,0.09646
counterparty_country_NL,0.096341714
previous_payments_to_counterparty,0.052420974
amount_value,0.049347594
days_since_first_seen_counterparty,0.025478298
balance_after,0.019430054
abs_amount,0.013733848
counterparty_user_type_PERSON,0.006590215
day_of_week,0.0062802522
currency_EUR,0.0061520366
day_of_month,0.0058156573
month,0.0056883693
hour,0.0052483077
arrival_status_PENDING,0.00495091
counterparty_user_type_ORGANIZATION,0.003557572
currency_USD,0.0035298637
is_new_counterparty,0.003499836
